gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,Charges_Per_Tenure,TotalCharges
Female,0,No,9,Yes,Yes,Fiber optic,Month-to-month,94.4,Yes,9.440000000000001,849.6
Female,0,No,3,Yes,No,DSL,Month-to-month,75.3,No,18.825,225.89999999999998
Male,0,No,47,Yes,Yes,Fiber optic,One year,78.9,No,1.64375,3708.3
Female,0,No,31,Yes,No,DSL,Two year,79.2,No,2.475,2455.2000000000003
Female,0,Yes,50,Yes,No,DSL,Two year,20.15,No,0.39509803921568626,1007.4999999999999
Male,0,No,10,Yes,No,Fiber optic,Month-to-month,79.85,No,7.259090909090909,798.5
Male,0,No,1,Yes,No,DSL,Month-to-month,49.05,No,24.525,49.05
Female,0,Yes,52,Yes,No,DSL,One year,20.4,No,0.38490566037735846,1060.8
Male,1,Yes,64,Yes,Yes,Fiber optic,Two year,111.6,No,1.7169230769230768,7142.4
Male,0,Yes,62,Yes,Yes,DSL,Two year,24.25,No,0.38492063492063494,1503.5
Female,0,Yes,3,Yes,No,DSL,Month-to-month,64.5,No,16.125,193.5
Female,1,No,56,Yes,Yes,Fiber optic,One year,110.5,No,1.9385964912280702,6188.0
Female,0,No,46,Yes,No,DSL,One year,55.65,No,1.1840425531914893,2559.9
Female,0,Yes,8,Yes,No,DSL,Month-to-month,54.65,No,6.072222222222222,437.2
Male,1,No,30,Yes,No,DSL,Month-to-month,74.75,No,2.411290322580645,2242.5
Female,0,Yes,45,Yes,Yes,DSL,One year,25.9,No,0.5630434782608695,1165.5
Female,0,Yes,1,Yes,No,Fiber optic,Month-to-month,79.35,Yes,39.675,79.35
Female,0,Yes,11,No,No,DSL,Month-to-month,50.55,No,4.2124999999999995,556.05
Female,0,No,7,Yes,No,Fiber optic,Month-to-month,75.15,Yes,9.39375,526.0500000000001
Female,0,No,42,Yes,No,Fiber optic,Month-to-month,103.8,No,2.413953488372093,4359.599999999999
Female,0,No,49,Yes,No,DSL,Two year,20.15,No,0.40299999999999997,987.3499999999999
Male,0,No,9,Yes,Yes,Fiber optic,Month-to-month,99.3,No,9.93,893.6999999999999
Female,0,No,35,Yes,No,DSL,One year,62.15,No,1.7263888888888888,2175.25
Female,0,Yes,48,Yes,No,DSL,Two year,20.65,No,0.4214285714285714,991.1999999999999
Female,0,Yes,46,Yes,No,DSL,Two year,19.95,No,0.42446808510638295,917.6999999999999
Male,0,No,29,No,No,DSL,Month-to-month,33.75,No,1.125,978.75
Male,0,Yes,30,Yes,No,Fiber optic,Month-to-month,82.05,No,2.646774193548387,2461.5
Male,1,No,1,Yes,No,Fiber optic,Month-to-month,74.7,No,37.35,74.7
Male,0,Yes,66,Yes,Yes,DSL,Two year,84.0,No,1.2537313432835822,5544.0
Female,0,No,65,Yes,Yes,Fiber optic,Month-to-month,111.05,No,1.6825757575757576,7218.25
Male,0,No,72,Yes,Yes,Fiber optic,Two year,100.9,No,1.382191780821918,7264.8
Female,0,No,12,Yes,Yes,Fiber optic,Month-to-month,78.95,Yes,6.073076923076924,947.4000000000001
Male,0,Yes,71,Yes,Yes,DSL,One year,66.85,No,0.9284722222222221,4746.349999999999
Male,0,No,5,Yes,No,DSL,Month-to-month,21.05,Yes,3.5083333333333333,105.25
Male,0,No,52,Yes,No,DSL,Two year,21.0,No,0.39622641509433965,1092.0
Female,1,No,25,Yes,No,Fiber optic,Month-to-month,98.5,Yes,3.7884615384615383,2462.5
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,No,10.1,20.2
Female,0,Yes,1,Yes,No,DSL,Month-to-month,19.45,No,9.725,19.45
Male,0,No,38,Yes,Yes,Fiber optic,One year,95.0,No,2.4358974358974357,3610.0
Female,1,No,66,No,No,DSL,One year,45.55,No,0.6798507462686567,3006.2999999999997
Male,0,No,68,Yes,Yes,Fiber optic,Two year,110.0,Yes,1.5942028985507246,7480.0
Male,0,No,5,No,No,DSL,Month-to-month,24.3,No,4.05,121.5
Female,0,Yes,72,Yes,Yes,Fiber optic,One year,104.15,No,1.4267123287671233,7498.8
Female,0,No,32,No,No,DSL,One year,30.15,No,0.9136363636363636,964.8
Male,0,No,43,Yes,Yes,Fiber optic,One year,94.35,No,2.1443181818181816,4057.0499999999997
Male,0,Yes,72,Yes,No,DSL,Two year,19.4,No,0.2657534246575342,1396.8
Male,0,No,55,Yes,Yes,Fiber optic,Month-to-month,96.75,Yes,1.7276785714285714,5321.25
Female,0,No,52,Yes,No,DSL,One year,57.95,No,1.0933962264150945,3013.4
Female,0,No,43,Yes,No,Fiber optic,Month-to-month,91.65,No,2.0829545454545455,3940.9500000000003
Female,1,No,37,Yes,Yes,Fiber optic,Month-to-month,76.5,Yes,2.013157894736842,2830.5
Female,0,Yes,64,No,No,DSL,Two year,54.6,No,0.84,3494.4
Male,0,Yes,3,Yes,No,Fiber optic,Month-to-month,89.85,No,22.4625,269.54999999999995
Female,0,No,36,No,No,DSL,Two year,31.05,No,0.8391891891891892,1117.8
Female,0,Yes,10,Yes,Yes,Fiber optic,Month-to-month,100.25,Yes,9.113636363636363,1002.5
Female,0,No,41,Yes,No,DSL,Two year,20.65,No,0.49166666666666664,846.65
Male,0,Yes,27,Yes,Yes,Fiber optic,Month-to-month,85.2,No,3.042857142857143,2300.4
Female,0,Yes,56,Yes,Yes,Fiber optic,One year,99.8,No,1.750877192982456,5588.8
Female,0,No,6,Yes,No,DSL,Month-to-month,20.7,No,2.957142857142857,124.19999999999999
Male,0,No,3,Yes,Yes,Fiber optic,Month-to-month,74.4,Yes,18.6,223.20000000000002
Female,0,Yes,7,Yes,No,DSL,Month-to-month,50.7,No,6.3375,354.90000000000003
Female,0,Yes,4,Yes,No,DSL,Month-to-month,20.85,No,4.17,83.4
Male,0,No,33,Yes,No,Fiber optic,Two year,88.95,No,2.6161764705882353,2935.35
Female,1,No,27,Yes,Yes,Fiber optic,Month-to-month,78.05,Yes,2.7875,2107.35
Male,0,No,72,Yes,Yes,DSL,Two year,23.55,No,0.32260273972602743,1695.6000000000001
Male,0,No,1,Yes,No,DSL,Month-to-month,19.75,No,9.875,19.75
Male,1,No,71,No,No,DSL,One year,56.45,No,0.7840277777777778,4007.9500000000003
Female,0,No,13,Yes,Yes,Fiber optic,Month-to-month,85.95,No,6.139285714285714,1117.3500000000001
Female,0,Yes,25,No,No,DSL,Month-to-month,58.6,Yes,2.253846153846154,1465.0
Male,0,No,67,Yes,No,DSL,Two year,50.55,No,0.7433823529411764,3386.85
Male,0,No,1,No,No,DSL,Month-to-month,35.45,Yes,17.725,35.45
Male,0,No,2,Yes,No,DSL,Month-to-month,44.35,Yes,14.783333333333333,88.7
Female,0,No,43,Yes,Yes,DSL,Two year,25.7,No,0.5840909090909091,1105.1
Female,0,No,23,Yes,No,Fiber optic,Month-to-month,75.0,No,3.125,1725.0
Female,0,Yes,64,Yes,No,DSL,Two year,20.2,No,0.31076923076923074,1292.8
Male,0,Yes,57,Yes,No,DSL,Two year,19.6,No,0.33793103448275863,1117.2
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,70.45,Yes,35.225,70.45
Female,1,Yes,72,Yes,Yes,DSL,Two year,88.05,No,1.2061643835616438,6339.599999999999
Female,0,No,8,Yes,Yes,DSL,Month-to-month,71.15,Yes,7.905555555555556,569.2
Female,0,No,61,Yes,Yes,Fiber optic,Two year,101.05,No,1.6298387096774194,6164.05
Male,0,No,64,Yes,Yes,Fiber optic,One year,84.3,No,1.2969230769230768,5395.2
Male,1,No,71,Yes,Yes,DSL,Two year,23.95,No,0.3326388888888889,1700.45
Female,0,Yes,65,Yes,Yes,Fiber optic,Two year,99.05,No,1.5007575757575757,6438.25
Male,0,No,3,Yes,No,DSL,One year,19.6,No,4.9,58.800000000000004
Male,0,No,1,Yes,No,DSL,Month-to-month,45.65,Yes,22.825,45.65
Male,0,Yes,30,Yes,No,DSL,One year,64.5,No,2.0806451612903225,1935.0
Male,0,Yes,15,Yes,No,DSL,Month-to-month,69.5,No,4.34375,1042.5
Female,0,Yes,8,Yes,No,DSL,Month-to-month,68.55,No,7.616666666666666,548.4
Male,0,No,7,Yes,Yes,Fiber optic,Month-to-month,95.0,Yes,11.875,665.0
Female,0,Yes,70,Yes,Yes,Fiber optic,One year,108.15,No,1.5232394366197184,7570.5
Male,0,Yes,62,Yes,No,DSL,Two year,86.1,No,1.3666666666666665,5338.2
Female,0,Yes,6,Yes,No,DSL,Month-to-month,19.7,No,2.814285714285714,118.19999999999999
Female,0,Yes,14,Yes,No,Fiber optic,Month-to-month,80.9,No,5.3933333333333335,1132.6000000000001
Female,0,No,22,Yes,Yes,Fiber optic,Month-to-month,84.15,No,3.6586956521739133,1851.3000000000002
Male,0,Yes,22,Yes,No,DSL,One year,20.15,No,0.8760869565217391,443.29999999999995
Male,0,Yes,16,Yes,No,DSL,Two year,64.25,No,3.7794117647058822,1028.0
Male,0,No,10,Yes,Yes,DSL,Two year,25.7,No,2.3363636363636364,257.0
Female,0,Yes,13,Yes,No,DSL,Month-to-month,56.0,No,4.0,728.0
Female,0,No,20,Yes,Yes,Fiber optic,Month-to-month,82.4,Yes,3.923809523809524,1648.0
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,69.7,No,23.233333333333334,139.4
Male,0,No,53,Yes,Yes,DSL,Two year,73.9,No,1.3685185185185187,3916.7000000000003
Female,0,Yes,11,Yes,No,DSL,One year,20.6,No,1.7166666666666668,226.60000000000002
Male,0,No,69,Yes,No,DSL,Two year,19.9,No,0.28428571428571425,1373.1
Female,0,No,4,Yes,No,Fiber optic,Month-to-month,70.9,Yes,14.180000000000001,283.6
Male,0,No,72,Yes,Yes,DSL,Two year,89.05,No,1.2198630136986301,6411.599999999999
Male,1,No,58,No,No,DSL,Month-to-month,45.3,Yes,0.7677966101694915,2627.3999999999996
Female,0,Yes,16,Yes,No,DSL,Month-to-month,20.4,No,1.2,326.4
Male,0,No,43,Yes,No,Fiber optic,One year,84.25,No,1.9147727272727273,3622.75
Female,0,No,2,Yes,Yes,Fiber optic,Month-to-month,104.4,Yes,34.800000000000004,208.8
Male,0,No,14,Yes,No,DSL,Two year,81.95,No,5.463333333333334,1147.3
Female,0,No,53,Yes,No,Fiber optic,One year,94.85,Yes,1.7564814814814813,5027.049999999999
Female,0,No,32,Yes,No,DSL,One year,20.55,No,0.6227272727272728,657.6
Female,0,No,34,Yes,Yes,DSL,Month-to-month,24.7,No,0.7057142857142857,839.8
Female,1,No,15,Yes,Yes,Fiber optic,Month-to-month,74.45,Yes,4.653125,1116.75
Female,1,No,7,Yes,No,Fiber optic,Month-to-month,76.45,Yes,9.55625,535.15
Female,0,Yes,15,Yes,Yes,Fiber optic,Month-to-month,105.35,No,6.584375,1580.25
Male,0,No,61,Yes,No,DSL,One year,20.55,No,0.33145161290322583,1253.55
Female,0,No,1,No,No,DSL,Month-to-month,29.95,Yes,14.975,29.95
Female,0,No,1,Yes,No,DSL,Month-to-month,45.3,No,22.65,45.3
Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,84.5,Yes,9.38888888888889,676.0
Male,0,Yes,33,Yes,No,DSL,One year,74.75,No,2.198529411764706,2466.75
Female,0,No,13,Yes,No,Fiber optic,Month-to-month,79.25,Yes,5.660714285714286,1030.25
Female,0,No,1,No,No,DSL,Month-to-month,24.8,Yes,12.4,24.8
Male,0,No,20,Yes,No,DSL,Month-to-month,51.8,No,2.4666666666666663,1036.0
Male,0,No,3,No,No,DSL,Month-to-month,30.4,No,7.6,91.19999999999999
Female,0,No,13,Yes,No,DSL,One year,19.65,No,1.4035714285714285,255.45
Female,0,No,40,Yes,Yes,DSL,Month-to-month,56.6,No,1.380487804878049,2264.0
Male,0,Yes,43,Yes,Yes,DSL,One year,71.9,No,1.6340909090909093,3091.7000000000003
Male,0,No,6,Yes,No,Fiber optic,Month-to-month,91.0,Yes,13.0,546.0
Female,0,Yes,69,Yes,No,DSL,Two year,19.75,No,0.28214285714285714,1362.75
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,109.7,No,1.5027397260273974,7898.400000000001
Male,0,Yes,59,Yes,No,DSL,Two year,19.3,No,0.32166666666666666,1138.7
Female,0,No,20,Yes,No,Fiber optic,Month-to-month,96.55,No,4.597619047619047,1931.0
Male,0,Yes,24,Yes,Yes,DSL,Two year,24.1,No,0.9640000000000001,578.4000000000001
Male,0,No,59,Yes,Yes,Fiber optic,Month-to-month,111.35,No,1.8558333333333332,6569.65
Male,0,Yes,72,Yes,Yes,Fiber optic,Two year,112.25,No,1.5376712328767124,8082.0
Male,0,Yes,1,Yes,No,DSL,Month-to-month,20.75,No,10.375,20.75
Female,0,No,27,Yes,No,Fiber optic,One year,101.9,No,3.6392857142857147,2751.3
Female,0,No,14,Yes,No,Fiber optic,Month-to-month,80.05,No,5.336666666666667,1120.7
Male,0,Yes,71,Yes,Yes,Fiber optic,Two year,105.55,No,1.4659722222222222,7494.05
Male,0,Yes,13,Yes,No,Fiber optic,Month-to-month,78.3,No,5.5928571428571425,1017.9
Male,0,No,44,Yes,No,Fiber optic,Month-to-month,68.85,No,1.5299999999999998,3029.3999999999996
Female,0,No,33,Yes,No,Fiber optic,One year,79.95,No,2.351470588235294,2638.35
Male,0,Yes,72,No,No,DSL,Two year,55.45,No,0.7595890410958904,3992.4
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,79.9,Yes,39.95,79.9
Female,0,No,19,Yes,No,Fiber optic,Month-to-month,106.6,Yes,5.33,2025.3999999999999
Male,0,No,64,Yes,No,Fiber optic,One year,102.45,No,1.5761538461538462,6556.8
Male,0,No,2,Yes,No,DSL,Month-to-month,46.0,Yes,15.333333333333334,92.0
Female,0,No,1,No,No,DSL,Month-to-month,25.25,No,12.625,25.25
Male,0,Yes,61,Yes,No,DSL,Two year,19.75,No,0.3185483870967742,1204.75
Female,0,Yes,29,Yes,No,DSL,One year,20.0,No,0.6666666666666666,580.0
Male,1,No,23,Yes,Yes,Fiber optic,Month-to-month,86.8,No,3.6166666666666667,1996.3999999999999
Female,0,No,57,No,No,DSL,Month-to-month,58.75,No,1.0129310344827587,3348.75
Male,0,Yes,72,No,No,DSL,Two year,45.25,No,0.6198630136986302,3258.0
Male,0,No,66,No,No,DSL,Two year,56.6,No,0.8447761194029851,3735.6
Male,0,Yes,65,Yes,Yes,DSL,Two year,84.2,No,1.2757575757575759,5473.0
Female,0,No,8,Yes,No,Fiber optic,Month-to-month,80.0,No,8.88888888888889,640.0
Female,0,No,4,Yes,No,Fiber optic,Month-to-month,70.15,Yes,14.030000000000001,280.6
Female,0,No,71,Yes,Yes,DSL,Two year,24.75,No,0.34375,1757.25
Male,0,Yes,1,Yes,No,DSL,One year,20.2,No,10.1,20.2
Male,0,No,4,Yes,No,DSL,Month-to-month,50.05,Yes,10.01,200.2
Female,0,No,12,Yes,No,DSL,One year,19.35,No,1.4884615384615385,232.20000000000002
Male,0,No,24,No,No,DSL,One year,50.6,No,2.024,1214.4
Female,0,Yes,31,Yes,No,DSL,One year,81.15,No,2.5359375,2515.65
Female,0,No,1,Yes,No,DSL,Month-to-month,55.2,Yes,27.6,55.2
Male,0,No,30,Yes,Yes,Fiber optic,Month-to-month,89.9,No,2.9000000000000004,2697.0
Female,0,Yes,47,Yes,Yes,DSL,Two year,85.3,No,1.7770833333333333,4009.1
Male,0,No,54,Yes,Yes,Fiber optic,Two year,108.0,No,1.9636363636363636,5832.0
Male,0,No,50,Yes,No,Fiber optic,Month-to-month,93.5,No,1.8333333333333333,4675.0
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,84.6,Yes,42.3,84.6
Female,0,No,72,Yes,No,DSL,Two year,20.25,No,0.2773972602739726,1458.0
Female,0,No,29,Yes,Yes,DSL,Month-to-month,25.15,No,0.8383333333333333,729.3499999999999
Male,0,No,2,Yes,Yes,DSL,Month-to-month,54.4,Yes,18.133333333333333,108.8
Female,0,No,10,No,No,DSL,Two year,29.6,No,2.690909090909091,296.0
Male,0,No,18,Yes,Yes,Fiber optic,Month-to-month,73.15,No,3.85,1316.7
Female,1,No,11,Yes,No,Fiber optic,Month-to-month,95.0,Yes,7.916666666666667,1045.0
Male,0,No,16,Yes,No,DSL,Two year,19.75,No,1.161764705882353,316.0
Female,0,No,72,Yes,Yes,DSL,Two year,86.6,No,1.1863013698630136,6235.2
Male,0,No,72,Yes,Yes,Fiber optic,Two year,109.2,No,1.4958904109589042,7862.400000000001
Female,0,Yes,41,Yes,No,DSL,One year,74.7,No,1.7785714285714287,3062.7000000000003
Female,1,No,65,Yes,No,Fiber optic,Month-to-month,94.4,No,1.4303030303030304,6136.0
Female,1,No,13,Yes,No,DSL,Month-to-month,54.8,No,3.914285714285714,712.4
Male,1,No,4,Yes,No,Fiber optic,Month-to-month,75.35,No,15.069999999999999,301.4
Male,0,No,41,Yes,Yes,DSL,One year,65.0,No,1.5476190476190477,2665.0
Male,1,No,15,Yes,No,Fiber optic,Month-to-month,74.4,Yes,4.65,1116.0
Male,0,No,1,Yes,No,DSL,Month-to-month,48.55,Yes,24.275,48.55
Male,0,No,42,Yes,Yes,Fiber optic,One year,99.0,No,2.302325581395349,4158.0
Female,0,No,51,Yes,No,Fiber optic,One year,93.5,No,1.7980769230769231,4768.5
Female,0,Yes,2,Yes,No,Fiber optic,Month-to-month,70.4,Yes,23.46666666666667,140.8
Male,1,No,1,No,No,DSL,Month-to-month,40.2,Yes,20.1,40.2
Male,0,Yes,32,Yes,Yes,DSL,One year,83.7,No,2.5363636363636366,2678.4
Male,0,No,10,Yes,No,DSL,Month-to-month,19.85,No,1.8045454545454547,198.5
Female,0,Yes,67,No,No,DSL,Two year,59.55,No,0.8757352941176471,3989.85
Female,0,Yes,61,Yes,Yes,Fiber optic,Two year,115.1,No,1.8564516129032258,7021.099999999999
Male,0,No,50,Yes,Yes,Fiber optic,One year,114.35,No,2.242156862745098,5717.5
Female,0,No,2,Yes,No,DSL,Month-to-month,44.6,Yes,14.866666666666667,89.2
Female,1,No,29,No,No,DSL,Month-to-month,45.0,No,1.5,1305.0
Male,1,No,3,No,No,DSL,Month-to-month,41.15,Yes,10.2875,123.44999999999999
Male,1,No,13,Yes,Yes,Fiber optic,Month-to-month,106.9,Yes,7.635714285714286,1389.7
Male,1,No,57,Yes,Yes,Fiber optic,Month-to-month,89.85,No,1.5491379310344826,5121.45
Female,0,No,31,No,No,DSL,Two year,49.85,No,1.5578125,1545.3500000000001
Female,0,No,45,Yes,Yes,Fiber optic,One year,113.3,No,2.4630434782608694,5098.5
Female,0,Yes,61,Yes,Yes,DSL,Two year,88.1,No,1.4209677419354838,5374.099999999999
Male,0,No,50,Yes,Yes,DSL,Two year,24.9,No,0.48823529411764705,1245.0
Female,1,No,19,Yes,No,Fiber optic,Month-to-month,105.0,No,5.25,1995.0
Male,0,No,59,Yes,No,DSL,Two year,19.35,Yes,0.3225,1141.65
Female,0,No,71,Yes,Yes,DSL,Two year,24.25,No,0.3368055555555556,1721.75
Female,1,No,16,Yes,No,Fiber optic,Month-to-month,94.45,Yes,5.555882352941176,1511.2
Male,0,No,57,Yes,No,DSL,Two year,59.75,No,1.0301724137931034,3405.75
Male,0,No,1,No,No,DSL,Month-to-month,24.8,Yes,12.4,24.8
Male,1,No,20,Yes,Yes,Fiber optic,Month-to-month,107.05,No,5.097619047619047,2141.0
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,70.6,Yes,35.3,70.6
Male,0,No,5,Yes,Yes,Fiber optic,Month-to-month,85.4,Yes,14.233333333333334,427.0
Female,0,No,52,Yes,Yes,Fiber optic,Month-to-month,105.05,Yes,1.982075471698113,5462.599999999999
Male,1,No,21,Yes,No,DSL,Month-to-month,64.95,No,2.9522727272727276,1363.95
Male,0,No,14,No,No,DSL,Month-to-month,55.0,No,3.6666666666666665,770.0
Female,0,No,5,Yes,No,DSL,Month-to-month,50.55,No,8.424999999999999,252.75
Female,0,No,6,Yes,No,DSL,Month-to-month,55.15,No,7.878571428571428,330.9
Female,0,No,10,Yes,No,DSL,Month-to-month,51.2,No,4.654545454545455,512.0
Female,0,Yes,1,Yes,Yes,DSL,Month-to-month,25.4,No,12.7,25.4
Female,0,No,68,Yes,Yes,DSL,Month-to-month,54.45,No,0.7891304347826087,3702.6000000000004
Male,0,Yes,18,Yes,No,Fiber optic,Month-to-month,95.15,Yes,5.007894736842106,1712.7
Female,0,No,22,Yes,Yes,Fiber optic,One year,76.0,No,3.3043478260869565,1672.0
Female,0,No,20,Yes,No,DSL,Month-to-month,44.35,No,2.111904761904762,887.0
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,70.0,Yes,35.0,70.0
Male,1,No,8,Yes,No,Fiber optic,Month-to-month,74.5,Yes,8.277777777777779,596.0
Male,0,No,10,Yes,No,DSL,Month-to-month,44.85,Yes,4.077272727272727,448.5
Male,1,No,24,Yes,Yes,Fiber optic,Month-to-month,76.1,Yes,3.0439999999999996,1826.3999999999999
Male,0,No,35,Yes,No,DSL,One year,61.2,No,1.7000000000000002,2142.0
Male,0,Yes,23,Yes,No,Fiber optic,One year,86.8,No,3.6166666666666667,1996.3999999999999
Female,1,No,6,Yes,No,Fiber optic,Month-to-month,89.35,No,12.764285714285714,536.0999999999999
Female,0,No,12,Yes,No,DSL,Month-to-month,19.7,No,1.5153846153846153,236.39999999999998
Male,0,No,1,Yes,No,DSL,Month-to-month,20.25,No,10.125,20.25
Female,0,Yes,71,Yes,No,Fiber optic,Two year,76.05,No,1.05625,5399.55
Male,1,No,35,Yes,Yes,Fiber optic,Month-to-month,100.8,No,2.8,3528.0
