gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn
Female,0,Yes,63,Yes,Yes,Fiber optic,One year,99.65,No
Male,1,Yes,66,Yes,Yes,Fiber optic,One year,108.45,No
Female,0,Yes,34,Yes,Yes,DSL,Two year,24.95,No
Female,0,No,72,Yes,Yes,Fiber optic,Two year,107.5,No
Female,0,No,47,Yes,Yes,Fiber optic,Month-to-month,100.5,No
Male,0,No,60,Yes,Yes,Fiber optic,Month-to-month,89.9,No
Male,0,No,72,No,No,DSL,Two year,42.1,No
Female,0,Yes,18,Yes,No,DSL,One year,54.4,No
Female,0,No,9,Yes,Yes,Fiber optic,Month-to-month,94.4,Yes
Female,0,No,3,Yes,No,DSL,Month-to-month,75.3,No
Male,0,No,47,Yes,Yes,Fiber optic,One year,78.9,No
Female,0,No,31,Yes,No,DSL,Two year,79.2,No
Female,0,Yes,50,Yes,No,DSL,Two year,20.15,No
Male,0,No,10,Yes,No,Fiber optic,Month-to-month,79.85,No
Male,0,No,1,Yes,No,DSL,Month-to-month,49.05,No
Female,0,Yes,52,Yes,No,DSL,One year,20.4,No
Male,1,Yes,64,Yes,Yes,Fiber optic,Two year,111.6,No
Male,0,Yes,62,Yes,Yes,DSL,Two year,24.25,No
Female,0,Yes,3,Yes,No,DSL,Month-to-month,64.5,No
Female,1,No,56,Yes,Yes,Fiber optic,One year,110.5,No
Female,0,No,46,Yes,No,DSL,One year,55.65,No
Female,0,Yes,8,Yes,No,DSL,Month-to-month,54.65,No
Male,1,No,30,Yes,No,DSL,Month-to-month,74.75,No
Female,0,Yes,45,Yes,Yes,DSL,One year,25.9,No
Female,0,Yes,1,Yes,No,Fiber optic,Month-to-month,79.35,Yes
Female,0,Yes,11,No,No,DSL,Month-to-month,50.55,No
Female,0,No,7,Yes,No,Fiber optic,Month-to-month,75.15,Yes
Female,0,No,42,Yes,No,Fiber optic,Month-to-month,103.8,No
Female,0,No,49,Yes,No,DSL,Two year,20.15,No
Male,0,No,9,Yes,Yes,Fiber optic,Month-to-month,99.3,No
Female,0,No,35,Yes,No,DSL,One year,62.15,No
Female,0,Yes,48,Yes,No,DSL,Two year,20.65,No
Female,0,Yes,46,Yes,No,DSL,Two year,19.95,No
Male,0,No,29,No,No,DSL,Month-to-month,33.75,No
Male,0,Yes,30,Yes,No,Fiber optic,Month-to-month,82.05,No
Male,1,No,1,Yes,No,Fiber optic,Month-to-month,74.7,No
Male,0,Yes,66,Yes,Yes,DSL,Two year,84,No
Female,0,No,65,Yes,Yes,Fiber optic,Month-to-month,111.05,No
Male,0,No,72,Yes,Yes,Fiber optic,Two year,100.9,No
Female,0,No,12,Yes,Yes,Fiber optic,Month-to-month,78.95,Yes
Male,0,Yes,71,Yes,Yes,DSL,One year,66.85,No
Male,0,No,5,Yes,No,DSL,Month-to-month,21.05,Yes
Male,0,No,52,Yes,No,DSL,Two year,21,No
Female,1,No,25,Yes,No,Fiber optic,Month-to-month,98.5,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,No
Female,0,Yes,1,Yes,No,DSL,Month-to-month,19.45,No
Male,0,No,38,Yes,Yes,Fiber optic,One year,95,No
Female,1,No,66,No,No,DSL,One year,45.55,No
Male,0,No,68,Yes,Yes,Fiber optic,Two year,110,Yes
Male,0,No,5,No,No,DSL,Month-to-month,24.3,No
Female,0,Yes,72,Yes,Yes,Fiber optic,One year,104.15,No
Female,0,No,32,No,No,DSL,One year,30.15,No
Male,0,No,43,Yes,Yes,Fiber optic,One year,94.35,No
Male,0,Yes,72,Yes,No,DSL,Two year,19.4,No
Male,0,No,55,Yes,Yes,Fiber optic,Month-to-month,96.75,Yes
Female,0,No,52,Yes,No,DSL,One year,57.95,No
Female,0,No,43,Yes,No,Fiber optic,Month-to-month,91.65,No
Female,1,No,37,Yes,Yes,Fiber optic,Month-to-month,76.5,Yes
Female,0,Yes,64,No,No,DSL,Two year,54.6,No
Male,0,Yes,3,Yes,No,Fiber optic,Month-to-month,89.85,No
Female,0,No,36,No,No,DSL,Two year,31.05,No
Female,0,Yes,10,Yes,Yes,Fiber optic,Month-to-month,100.25,Yes
Female,0,No,41,Yes,No,DSL,Two year,20.65,No
Male,0,Yes,27,Yes,Yes,Fiber optic,Month-to-month,85.2,No
Female,0,Yes,56,Yes,Yes,Fiber optic,One year,99.8,No
Female,0,No,6,Yes,No,DSL,Month-to-month,20.7,No
Male,0,No,3,Yes,Yes,Fiber optic,Month-to-month,74.4,Yes
Female,0,Yes,7,Yes,No,DSL,Month-to-month,50.7,No
Female,0,Yes,4,Yes,No,DSL,Month-to-month,20.85,No
Male,0,No,33,Yes,No,Fiber optic,Two year,88.95,No
Female,1,No,27,Yes,Yes,Fiber optic,Month-to-month,78.05,Yes
Male,0,No,72,Yes,Yes,DSL,Two year,23.55,No
Male,0,No,1,Yes,No,DSL,Month-to-month,19.75,No
Male,1,No,71,No,No,DSL,One year,56.45,No
Female,0,No,13,Yes,Yes,Fiber optic,Month-to-month,85.95,No
Female,0,Yes,25,No,No,DSL,Month-to-month,58.6,Yes
Male,0,No,67,Yes,No,DSL,Two year,50.55,No
Male,0,No,1,No,No,DSL,Month-to-month,35.45,Yes
Male,0,No,2,Yes,No,DSL,Month-to-month,44.35,Yes
Female,0,No,43,Yes,Yes,DSL,Two year,25.7,No
Female,0,No,23,Yes,No,Fiber optic,Month-to-month,75,No
Female,0,Yes,64,Yes,No,DSL,Two year,20.2,No
Male,0,Yes,57,Yes,No,DSL,Two year,19.6,No
Female,1,No,1,Yes,No,Fiber optic,Month-to-month,70.45,Yes
Female,1,Yes,72,Yes,Yes,DSL,Two year,88.05,No
Female,0,No,8,Yes,Yes,DSL,Month-to-month,71.15,Yes
Female,0,No,61,Yes,Yes,Fiber optic,Two year,101.05,No
Male,0,No,64,Yes,Yes,Fiber optic,One year,84.3,No
Male,1,No,71,Yes,Yes,DSL,Two year,23.95,No
Female,0,Yes,65,Yes,Yes,Fiber optic,Two year,99.05,No
Male,0,No,3,Yes,No,DSL,One year,19.6,No
Male,0,No,1,Yes,No,DSL,Month-to-month,45.65,Yes
Male,0,Yes,30,Yes,No,DSL,One year,64.5,No
Male,0,Yes,15,Yes,No,DSL,Month-to-month,69.5,No
Female,0,Yes,8,Yes,No,DSL,Month-to-month,68.55,No
Male,0,No,7,Yes,Yes,Fiber optic,Month-to-month,95,Yes
Female,0,Yes,70,Yes,Yes,Fiber optic,One year,108.15,No
Male,0,Yes,62,Yes,No,DSL,Two year,86.1,No
Female,0,Yes,6,Yes,No,DSL,Month-to-month,19.7,No
Female,0,Yes,14,Yes,No,Fiber optic,Month-to-month,80.9,No
Female,0,No,22,Yes,Yes,Fiber optic,Month-to-month,84.15,No
Male,0,Yes,22,Yes,No,DSL,One year,20.15,No
Male,0,Yes,16,Yes,No,DSL,Two year,64.25,No
Male,0,No,10,Yes,Yes,DSL,Two year,25.7,No
Female,0,Yes,13,Yes,No,DSL,Month-to-month,56,No
Female,0,No,20,Yes,Yes,Fiber optic,Month-to-month,82.4,Yes
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,69.7,No
Male,0,No,53,Yes,Yes,DSL,Two year,73.9,No
Female,0,Yes,11,Yes,No,DSL,One year,20.6,No
Male,0,No,69,Yes,No,DSL,Two year,19.9,No
Female,0,No,4,Yes,No,Fiber optic,Month-to-month,70.9,Yes
Male,0,No,72,Yes,Yes,DSL,Two year,89.05,No
Male,1,No,58,No,No,DSL,Month-to-month,45.3,Yes
Female,0,Yes,16,Yes,No,DSL,Month-to-month,20.4,No
Male,0,No,43,Yes,No,Fiber optic,One year,84.25,No
Female,0,No,2,Yes,Yes,Fiber optic,Month-to-month,104.4,Yes
Male,0,No,14,Yes,No,DSL,Two year,81.95,No
Female,0,No,53,Yes,No,Fiber optic,One year,94.85,Yes
Female,0,No,32,Yes,No,DSL,One year,20.55,No
Female,0,No,34,Yes,Yes,DSL,Month-to-month,24.7,No
Female,1,No,15,Yes,Yes,Fiber optic,Month-to-month,74.45,Yes
Female,1,No,7,Yes,No,Fiber optic,Month-to-month,76.45,Yes
Female,0,Yes,15,Yes,Yes,Fiber optic,Month-to-month,105.35,No
Male,0,No,61,Yes,No,DSL,One year,20.55,No
Female,0,No,1,No,No,DSL,Month-to-month,29.95,Yes
Female,0,No,1,Yes,No,DSL,Month-to-month,45.3,No
Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,84.5,Yes
Male,0,Yes,33,Yes,No,DSL,One year,74.75,No
Female,0,No,13,Yes,No,Fiber optic,Month-to-month,79.25,Yes
Female,0,No,1,No,No,DSL,Month-to-month,24.8,Yes
Male,0,No,20,Yes,No,DSL,Month-to-month,51.8,No
Male,0,No,3,No,No,DSL,Month-to-month,30.4,No
Female,0,No,13,Yes,No,DSL,One year,19.65,No
Female,0,No,40,Yes,Yes,DSL,Month-to-month,56.6,No
Male,0,Yes,43,Yes,Yes,DSL,One year,71.9,No
Male,0,No,6,Yes,No,Fiber optic,Month-to-month,91,Yes
Female,0,Yes,69,Yes,No,DSL,Two year,19.75,No
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,109.7,No
Male,0,Yes,59,Yes,No,DSL,Two year,19.3,No
Female,0,No,20,Yes,No,Fiber optic,Month-to-month,96.55,No
Male,0,Yes,24,Yes,Yes,DSL,Two year,24.1,No
Male,0,No,59,Yes,Yes,Fiber optic,Month-to-month,111.35,No
Male,0,Yes,72,Yes,Yes,Fiber optic,Two year,112.25,No
Male,0,Yes,1,Yes,No,DSL,Month-to-month,20.75,No
Female,0,No,27,Yes,No,Fiber optic,One year,101.9,No
Female,0,No,14,Yes,No,Fiber optic,Month-to-month,80.05,No
Male,0,Yes,71,Yes,Yes,Fiber optic,Two year,105.55,No
Male,0,Yes,13,Yes,No,Fiber optic,Month-to-month,78.3,No
Male,0,No,44,Yes,No,Fiber optic,Month-to-month,68.85,No
Female,0,No,33,Yes,No,Fiber optic,One year,79.95,No
Male,0,Yes,72,No,No,DSL,Two year,55.45,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,79.9,Yes
Female,0,No,19,Yes,No,Fiber optic,Month-to-month,106.6,Yes
Male,0,No,64,Yes,No,Fiber optic,One year,102.45,No
Male,0,No,2,Yes,No,DSL,Month-to-month,46,Yes
Female,0,No,1,No,No,DSL,Month-to-month,25.25,No
Male,0,Yes,61,Yes,No,DSL,Two year,19.75,No
Female,0,Yes,29,Yes,No,DSL,One year,20,No
Male,1,No,23,Yes,Yes,Fiber optic,Month-to-month,86.8,No
Female,0,No,57,No,No,DSL,Month-to-month,58.75,No
Male,0,Yes,72,No,No,DSL,Two year,45.25,No
Male,0,No,66,No,No,DSL,Two year,56.6,No
Male,0,Yes,65,Yes,Yes,DSL,Two year,84.2,No
Female,0,No,8,Yes,No,Fiber optic,Month-to-month,80,No
Female,0,No,4,Yes,No,Fiber optic,Month-to-month,70.15,Yes
Female,0,No,71,Yes,Yes,DSL,Two year,24.75,No
Male,0,Yes,1,Yes,No,DSL,One year,20.2,No
Male,0,No,4,Yes,No,DSL,Month-to-month,50.05,Yes
Female,0,No,12,Yes,No,DSL,One year,19.35,No
Male,0,No,24,No,No,DSL,One year,50.6,No
Female,0,Yes,31,Yes,No,DSL,One year,81.15,No
Female,0,No,1,Yes,No,DSL,Month-to-month,55.2,Yes
Male,0,No,30,Yes,Yes,Fiber optic,Month-to-month,89.9,No
Female,0,Yes,47,Yes,Yes,DSL,Two year,85.3,No
Male,0,No,54,Yes,Yes,Fiber optic,Two year,108,No
Male,0,No,50,Yes,No,Fiber optic,Month-to-month,93.5,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,84.6,Yes
Female,0,No,72,Yes,No,DSL,Two year,20.25,No
Female,0,No,29,Yes,Yes,DSL,Month-to-month,25.15,No
Male,0,No,2,Yes,Yes,DSL,Month-to-month,54.4,Yes
Female,0,No,10,No,No,DSL,Two year,29.6,No
Male,0,No,18,Yes,Yes,Fiber optic,Month-to-month,73.15,No
Female,1,No,11,Yes,No,Fiber optic,Month-to-month,95,Yes
Male,0,No,16,Yes,No,DSL,Two year,19.75,No
Female,0,No,72,Yes,Yes,DSL,Two year,86.6,No
Male,0,No,72,Yes,Yes,Fiber optic,Two year,109.2,No
Female,0,Yes,41,Yes,No,DSL,One year,74.7,No
Female,1,No,65,Yes,No,Fiber optic,Month-to-month,94.4,No
Female,1,No,13,Yes,No,DSL,Month-to-month,54.8,No
Male,1,No,4,Yes,No,Fiber optic,Month-to-month,75.35,No
Male,0,No,41,Yes,Yes,DSL,One year,65,No
Male,1,No,15,Yes,No,Fiber optic,Month-to-month,74.4,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,48.55,Yes
Male,0,No,42,Yes,Yes,Fiber optic,One year,99,No
Female,0,No,51,Yes,No,Fiber optic,One year,93.5,No
Female,0,Yes,2,Yes,No,Fiber optic,Month-to-month,70.4,Yes
Male,1,No,1,No,No,DSL,Month-to-month,40.2,Yes
Male,0,Yes,32,Yes,Yes,DSL,One year,83.7,No
Male,0,No,10,Yes,No,DSL,Month-to-month,19.85,No
Female,0,Yes,67,No,No,DSL,Two year,59.55,No
Female,0,Yes,61,Yes,Yes,Fiber optic,Two year,115.1,No
Male,0,No,50,Yes,Yes,Fiber optic,One year,114.35,No
Female,0,No,2,Yes,No,DSL,Month-to-month,44.6,Yes
Female,1,No,29,No,No,DSL,Month-to-month,45,No
Male,1,No,3,No,No,DSL,Month-to-month,41.15,Yes
Male,1,No,13,Yes,Yes,Fiber optic,Month-to-month,106.9,Yes
Male,1,No,57,Yes,Yes,Fiber optic,Month-to-month,89.85,No
Female,0,No,31,No,No,DSL,Two year,49.85,No
Female,0,No,45,Yes,Yes,Fiber optic,One year,113.3,No
Female,0,Yes,61,Yes,Yes,DSL,Two year,88.1,No
Male,0,No,50,Yes,Yes,DSL,Two year,24.9,No
Female,1,No,19,Yes,No,Fiber optic,Month-to-month,105,No
Male,0,No,59,Yes,No,DSL,Two year,19.35,Yes
Female,0,No,71,Yes,Yes,DSL,Two year,24.25,No
Female,1,No,16,Yes,No,Fiber optic,Month-to-month,94.45,Yes
Male,0,No,57,Yes,No,DSL,Two year,59.75,No
Male,0,No,1,No,No,DSL,Month-to-month,24.8,Yes
Male,1,No,20,Yes,Yes,Fiber optic,Month-to-month,107.05,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,70.6,Yes
Male,0,No,5,Yes,Yes,Fiber optic,Month-to-month,85.4,Yes
Female,0,No,52,Yes,Yes,Fiber optic,Month-to-month,105.05,Yes
Male,1,No,21,Yes,No,DSL,Month-to-month,64.95,No
Male,0,No,14,No,No,DSL,Month-to-month,55,No
Female,0,No,5,Yes,No,DSL,Month-to-month,50.55,No
Female,0,No,6,Yes,No,DSL,Month-to-month,55.15,No
Female,0,No,10,Yes,No,DSL,Month-to-month,51.2,No
Female,0,Yes,1,Yes,Yes,DSL,Month-to-month,25.4,No
Female,0,No,68,Yes,Yes,DSL,Month-to-month,54.45,No
Male,0,Yes,18,Yes,No,Fiber optic,Month-to-month,95.15,Yes
Female,0,No,22,Yes,Yes,Fiber optic,One year,76,No
Female,0,No,20,Yes,No,DSL,Month-to-month,44.35,No
Male,0,No,1,Yes,No,Fiber optic,Month-to-month,70,Yes
Male,1,No,8,Yes,No,Fiber optic,Month-to-month,74.5,Yes
Male,0,No,10,Yes,No,DSL,Month-to-month,44.85,Yes
Male,1,No,24,Yes,Yes,Fiber optic,Month-to-month,76.1,Yes
Male,0,No,35,Yes,No,DSL,One year,61.2,No
Male,0,Yes,23,Yes,No,Fiber optic,One year,86.8,No
Female,1,No,6,Yes,No,Fiber optic,Month-to-month,89.35,No
Female,0,No,12,Yes,No,DSL,Month-to-month,19.7,No
Male,0,No,1,Yes,No,DSL,Month-to-month,20.25,No
Female,0,Yes,71,Yes,No,Fiber optic,Two year,76.05,No
Male,1,No,35,Yes,Yes,Fiber optic,Month-to-month,100.8,No
Male,0,Yes,40,Yes,Yes,DSL,Month-to-month,74.55,No
Female,0,Yes,1,Yes,No,Fiber optic,Month-to-month,73.6,Yes
Male,0,No,23,Yes,No,DSL,One year,64.9,No
Female,1,No,4,Yes,Yes,Fiber optic,Month-to-month,95.45,Yes
Male,0,No,4,Yes,No,Fiber optic,Month-to-month,90.4,No
Female,0,Yes,68,No,No,DSL,Two year,60.3,No
Male,0,Yes,38,Yes,Yes,Fiber optic,Month-to-month,81.85,No
Male,0,Yes,52,Yes,Yes,DSL,Two year,24.8,No
Male,1,No,32,Yes,Yes,Fiber optic,Month-to-month,74.9,Yes
Male,0,Yes,29,Yes,No,DSL,Two year,75.55,No
Male,1,Yes,38,Yes,Yes,Fiber optic,Month-to-month,101.15,No
Male,0,Yes,48,Yes,Yes,DSL,One year,78.75,No
Female,0,No,1,Yes,No,DSL,Month-to-month,19.25,No
Female,0,No,22,Yes,No,Fiber optic,Month-to-month,89.05,No
Female,0,No,43,Yes,Yes,Fiber optic,Two year,115.05,No
Female,1,No,5,Yes,No,Fiber optic,Month-to-month,69.35,No
Male,0,No,5,Yes,No,Fiber optic,Month-to-month,80.6,Yes
Male,0,Yes,51,Yes,Yes,Fiber optic,One year,110.05,No
Male,0,No,71,Yes,No,DSL,Two year,19.9,No
Female,0,Yes,38,Yes,No,DSL,One year,80.3,Yes
Male,1,No,24,Yes,No,Fiber optic,Month-to-month,93.15,Yes
Male,0,No,35,Yes,Yes,Fiber optic,Month-to-month,91.5,No
Female,1,No,54,Yes,Yes,DSL,One year,82.45,Yes
Female,0,Yes,72,No,No,DSL,Two year,60,No
Male,0,No,1,Yes,No,DSL,Month-to-month,44.8,No
Female,0,Yes,9,Yes,No,DSL,One year,48.6,No
Male,0,No,69,No,No,DSL,Two year,60.05,No
Female,0,No,52,Yes,Yes,Fiber optic,Month-to-month,102.7,No
Female,1,No,11,Yes,No,Fiber optic,Month-to-month,82.9,No
Female,1,No,2,Yes,No,Fiber optic,Month-to-month,70.35,Yes
Female,1,Yes,28,No,No,DSL,Month-to-month,35.9,No
Female,1,No,17,Yes,Yes,Fiber optic,Month-to-month,82.65,No
Female,0,Yes,35,Yes,No,DSL,Two year,19.85,No
Female,0,No,8,Yes,No,DSL,One year,19.2,No
Male,0,No,46,Yes,Yes,Fiber optic,One year,94.9,No
Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,73.85,Yes
Female,0,No,2,Yes,Yes,Fiber optic,Month-to-month,80.6,Yes
Male,0,Yes,68,Yes,Yes,DSL,One year,75.8,Yes
Female,0,No,43,Yes,Yes,Fiber optic,Two year,104.6,Yes
Female,0,No,68,Yes,Yes,DSL,Two year,88.15,No
Female,0,No,36,Yes,No,Fiber optic,Month-to-month,94.8,No
Male,0,No,63,Yes,Yes,Fiber optic,Month-to-month,103.4,Yes
Female,1,No,32,Yes,No,DSL,Month-to-month,54.65,No
Female,0,No,71,Yes,Yes,DSL,Two year,85.75,No
Female,0,Yes,66,Yes,Yes,DSL,Month-to-month,67.45,No
Male,0,No,63,Yes,No,DSL,One year,20.5,No
Female,0,Yes,41,Yes,No,DSL,One year,20.25,No
Female,1,No,1,Yes,Yes,Fiber optic,Month-to-month,72.1,No
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,90.4,Yes
Female,0,No,70,Yes,No,DSL,Two year,19.45,No
Female,0,No,23,No,No,DSL,Month-to-month,44.95,No
Female,1,No,64,Yes,No,Fiber optic,One year,97,No
Male,0,Yes,37,Yes,Yes,DSL,Two year,62.8,No
Male,0,Yes,17,Yes,No,DSL,One year,44.6,No
Female,1,No,7,Yes,No,Fiber optic,Month-to-month,89.15,No
Male,0,Yes,4,Yes,Yes,Fiber optic,Month-to-month,84.8,Yes
Female,1,No,21,No,No,DSL,Month-to-month,41.9,Yes
Female,0,No,10,Yes,No,Fiber optic,Month-to-month,80.25,Yes
Female,1,No,16,Yes,Yes,DSL,Month-to-month,54.1,No
Male,0,No,64,Yes,Yes,Fiber optic,Two year,105.25,No
Male,1,No,27,No,No,DSL,Month-to-month,30.75,Yes
Male,0,Yes,42,Yes,Yes,Fiber optic,One year,97.1,No
Male,0,Yes,5,Yes,No,DSL,Month-to-month,20.2,No
Female,0,No,41,Yes,No,Fiber optic,Two year,98.8,No
Male,0,No,58,Yes,No,DSL,One year,50.3,No
Female,0,No,47,Yes,No,DSL,Two year,20.55,No
Male,0,No,18,Yes,No,Fiber optic,Month-to-month,75.9,No
Male,0,No,5,Yes,No,Fiber optic,Month-to-month,96.5,Yes
Male,0,No,23,Yes,No,DSL,Month-to-month,59.95,No
Female,0,No,1,Yes,No,DSL,Month-to-month,19.15,No
Male,0,No,71,Yes,Yes,Fiber optic,One year,98.65,No
Male,0,Yes,72,Yes,Yes,Fiber optic,Two year,112.6,No
Male,0,Yes,33,Yes,No,DSL,One year,20.6,No
Male,0,No,2,Yes,Yes,Fiber optic,Month-to-month,85.65,Yes
Male,0,Yes,24,No,No,DSL,Two year,35.75,No
Female,0,Yes,56,Yes,Yes,Fiber optic,One year,99.75,No
Male,0,No,37,Yes,No,Fiber optic,Month-to-month,96.1,No
Female,0,No,43,Yes,Yes,DSL,One year,85.1,No
Male,0,No,1,No,No,DSL,Month-to-month,25.35,No
Female,0,No,25,Yes,Yes,Fiber optic,Month-to-month,104.95,Yes
Female,0,No,61,Yes,Yes,DSL,Two year,89.65,No
Male,0,No,17,Yes,Yes,Fiber optic,One year,86.75,No
Female,0,No,41,Yes,No,Fiber optic,One year,86.2,No
Male,0,No,1,Yes,No,DSL,Month-to-month,50.65,Yes
Male,1,Yes,72,No,No,DSL,Two year,64.8,No
Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,90.85,Yes
Male,0,No,48,Yes,Yes,Fiber optic,Two year,108.1,No
Male,1,No,11,Yes,No,DSL,Month-to-month,19.95,Yes
Female,1,No,55,Yes,Yes,Fiber optic,Month-to-month,85.45,Yes
Female,0,No,42,No,No,DSL,One year,54.75,No
Male,0,No,44,Yes,Yes,Fiber optic,Month-to-month,90.4,No
Male,0,Yes,1,Yes,No,DSL,Month-to-month,44,No
Female,0,No,27,Yes,Yes,Fiber optic,Month-to-month,95.6,No
Male,1,No,27,Yes,Yes,DSL,Month-to-month,84.8,No
Female,1,No,2,Yes,No,DSL,Month-to-month,44.3,No
Female,0,No,19,Yes,No,DSL,Month-to-month,19.9,No
Female,1,No,42,Yes,Yes,Fiber optic,Month-to-month,95.05,No
Female,0,No,66,Yes,Yes,DSL,Two year,90.05,No
Male,1,No,33,Yes,Yes,Fiber optic,Month-to-month,109.9,No
Female,0,No,34,Yes,No,Fiber optic,Month-to-month,73.95,Yes
Male,1,No,33,No,No,DSL,Month-to-month,54.6,No
Female,0,Yes,23,Yes,No,DSL,One year,20.05,No
Female,0,No,32,Yes,No,DSL,One year,19.75,No
Female,0,No,11,Yes,No,DSL,One year,20.05,No
Male,0,Yes,69,Yes,Yes,Fiber optic,Month-to-month,99.45,Yes
Female,0,No,68,Yes,No,DSL,One year,55.9,No
Male,0,No,20,Yes,No,DSL,Two year,19.7,No
Male,0,No,72,Yes,No,DSL,Two year,19.8,No
Male,0,Yes,60,Yes,Yes,Fiber optic,One year,95.4,No
Male,1,Yes,32,Yes,No,Fiber optic,Month-to-month,93.95,No
Female,0,No,1,Yes,No,DSL,Month-to-month,19.9,Yes
Male,0,No,1,Yes,No,DSL,Month-to-month,19.6,Yes
Male,1,No,3,Yes,Yes,Fiber optic,Month-to-month,81.35,Yes
Female,0,No,46,Yes,Yes,DSL,One year,24.45,No
Female,0,No,29,Yes,Yes,Fiber optic,Month-to-month,74.95,No
Male,0,No,51,Yes,Yes,Fiber optic,Month-to-month,87.35,No
Female,1,No,48,Yes,No,Fiber optic,Month-to-month,70.65,No
Female,0,Yes,16,Yes,No,Fiber optic,Month-to-month,73.25,No
